Date and Hour,Solar,Wind
2021-09-05 10:00:00+02:00,3269.0,92.0
2022-02-23 21:00:00+01:00,2.0,2265.0
2023-01-05 01:00:00+01:00,1.0,11490.0
2020-11-29 07:00:00+01:00,0.0,4430.0
2020-09-07 04:00:00+02:00,0.0,1606.0
2021-03-03 13:00:00+01:00,2249.0,630.0
2022-09-12 16:00:00+02:00,3835.0,1315.0
2021-06-26 04:00:00+02:00,1.0,197.0
2020-01-12 15:00:00+01:00,1108.0,5759.0
2021-09-20 10:00:00+02:00,1696.0,1272.0
2021-09-08 02:00:00+02:00,2.0,5308.0
2022-05-23 03:00:00+02:00,1.0,3668.0
2021-04-22 18:00:00+02:00,1788.0,4841.0
2020-12-12 11:00:00+01:00,1321.0,4976.0
2021-08-24 15:00:00+02:00,3591.0,8355.0
2020-12-01 09:00:00+01:00,212.0,7231.0
2021-02-13 18:00:00+01:00,13.0,6007.0
2022-10-14 00:00:00+02:00,1.0,3449.0
2022-08-30 22:00:00+02:00,5.0,3151.0
2022-06-23 02:00:00+02:00,1.0,1060.0
2022-07-06 16:00:00+02:00,5019.0,2642.0
2022-11-01 16:00:00+01:00,967.0,10436.0
2021-06-07 15:00:00+02:00,3446.0,772.0
2020-04-29 17:00:00+02:00,1559.0,8432.0
2022-12-08 02:00:00+01:00,1.0,1329.0
2022-11-23 01:00:00+01:00,1.0,8016.0
2022-03-11 22:00:00+01:00,4.0,10579.0
2022-11-16 07:00:00+01:00,9.0,9430.0
2020-12-10 13:00:00+01:00,804.0,3183.0
2020-08-15 02:00:00+02:00,0.0,457.0
2022-03-06 20:00:00+01:00,4.0,7272.0
2023-01-11 00:00:00+01:00,1.0,14468.0
2021-11-09 02:00:00+01:00,1.0,1796.0
2023-05-19 08:00:00+02:00,1794.0,2995.0
2022-03-20 12:00:00+01:00,3018.0,2446.0
2020-06-28 14:00:00+02:00,2549.0,4176.0
2022-04-29 07:00:00+02:00,247.0,2695.0
2020-07-04 10:00:00+02:00,2693.0,6889.0
2020-08-28 22:00:00+02:00,0.0,3034.0
2021-07-31 23:00:00+02:00,1.0,2333.0
2020-10-03 03:00:00+02:00,0.0,2854.0
2021-05-02 08:00:00+02:00,1120.0,961.0
2021-04-28 23:00:00+02:00,1.0,2231.0
2020-11-14 11:00:00+01:00,2300.0,6771.0
2022-02-10 09:00:00+01:00,1132.0,4665.0
2023-05-31 16:00:00+02:00,4599.0,6363.0
2022-04-24 23:00:00+02:00,1.0,3973.0
2021-02-20 11:00:00+01:00,2239.0,10922.0
2022-11-08 01:00:00+01:00,1.0,12099.0
2021-08-23 19:00:00+02:00,656.0,4846.0
2021-08-21 02:00:00+02:00,1.0,1420.0
2023-02-21 01:00:00+01:00,0.0,1842.0
2021-02-13 17:00:00+01:00,327.0,5958.0
2020-11-11 20:00:00+01:00,1.0,6596.0
2023-03-06 03:00:00+01:00,2.0,1309.0
2021-09-01 17:00:00+02:00,2331.0,6373.0
2020-10-29 18:00:00+01:00,5.0,6855.0
2020-07-13 11:00:00+02:00,3370.0,890.0
2020-01-11 10:00:00+01:00,1325.0,4027.0
2023-06-07 16:00:00+02:00,4949.0,3333.0
2022-08-27 16:00:00+02:00,4370.0,1928.0
2020-05-25 08:00:00+02:00,1243.0,1291.0
2021-03-12 13:00:00+01:00,2771.0,13472.0
2022-07-16 12:00:00+02:00,6005.0,2521.0
2023-04-25 04:00:00+02:00,0.0,3001.0
2022-08-17 17:00:00+02:00,2469.0,1535.0
2020-01-18 22:00:00+01:00,0.0,3962.0
2022-01-16 11:00:00+01:00,2470.0,2921.0
2021-09-03 22:00:00+02:00,3.0,1688.0
2023-04-10 16:00:00+02:00,2897.0,10085.0
2020-07-02 14:00:00+02:00,2138.0,4677.0
2020-08-14 08:00:00+02:00,574.0,1903.0
2021-04-29 11:00:00+02:00,1804.0,1906.0
2022-03-27 16:00:00+02:00,3790.0,1437.0
2022-12-01 18:00:00+01:00,2.0,3967.0
2021-06-19 09:00:00+02:00,1836.0,787.0
2023-06-09 08:00:00+02:00,1324.0,3020.0
2020-04-20 16:00:00+02:00,1015.0,5882.0
2021-10-29 13:00:00+02:00,1969.0,10751.0
2020-01-10 01:00:00+01:00,0.0,9096.0
2022-12-09 11:00:00+01:00,1343.0,2238.0
2023-03-04 15:00:00+01:00,3846.0,2902.0
2020-07-28 10:00:00+02:00,1495.0,3267.0
2020-02-01 03:00:00+01:00,0.0,9113.0
2020-06-27 19:00:00+02:00,887.0,6483.0
2020-06-04 06:00:00+02:00,16.0,2622.0
2021-08-27 07:00:00+02:00,103.0,2814.0
2022-09-26 05:00:00+02:00,1.0,4294.0
2021-01-11 01:00:00+01:00,0.0,1870.0
2022-09-30 22:00:00+02:00,1.0,10930.0
2020-10-13 14:00:00+02:00,1992.0,4626.0
2021-11-05 12:00:00+01:00,3031.0,1550.0
2022-08-21 01:00:00+02:00,3.0,701.0
2022-10-31 02:00:00+01:00,0.0,1712.0
2022-10-23 03:00:00+02:00,1.0,6341.0
2020-01-25 03:00:00+01:00,0.0,1067.0
2023-04-08 09:00:00+02:00,3131.0,2023.0
2021-08-01 14:00:00+02:00,3736.0,3107.0
2021-06-16 10:00:00+02:00,2835.0,450.0
2021-11-13 14:00:00+01:00,1126.0,2815.0
2020-12-18 09:00:00+01:00,231.0,6857.0
2020-07-04 15:00:00+02:00,3574.0,8247.0
2021-06-10 20:00:00+02:00,335.0,1099.0
2023-06-13 12:00:00+02:00,5297.0,2301.0
2021-12-21 01:00:00+01:00,1.0,3042.0
2023-06-19 02:00:00+02:00,0.0,2920.0
2020-05-15 12:00:00+02:00,3192.0,4801.0
2021-05-15 01:00:00+02:00,2.0,3296.0
2021-03-11 05:00:00+01:00,0.0,13920.0
2020-11-09 20:00:00+01:00,1.0,1606.0
2020-06-02 22:00:00+02:00,1.0,1654.0
2020-11-03 10:00:00+01:00,789.0,5900.0
2022-12-16 01:00:00+01:00,1.0,6315.0
2021-07-16 04:00:00+02:00,1.0,3974.0
2021-08-27 13:00:00+02:00,4408.0,2862.0
